Score,Review,SNS,Addr
5,"배가 자주 아파서 병원을 찾았지만 위장기능 저하 외엔 별 다른 진단이 없었어요. 다행이지만, 약은 증상을 완화 해 주고 통증을 줄여줄 뿐 근본적으로 위장을 튼튼하게 만들어주지는 못하더라고요. 바쁜 일상으로 생활속에서 다 챙기지 못하는 위장 건강을 위해, 아기때 부터 경험했던, 유산균이라면 믿을 수 있는  제약의 새로운 유산균 프로그램  을 체험해보고 싶어요 ! 흔한 비염 흔한 복통 흔한 트러블을 가지고 사는 얼굴하얀 도시여자가 건강미인으로 속부터 튼튼해지도록 도와주세용 ^^",facebook,
4,오래동안 과민성 대장증후군을 앓고있어요.ㅠ 여기저기서 유산균이 좋다고 하는데...아줌마이다보니 선뜻 나를위한 구매가 되지 않더라구요. 체험을 통해 정말 저랑 맞는지 알아보고싶네요...,kakaostory,전라남도
5,수많은 유산균을 먹어봤지만  만한게 없더라고요 2행시 들어갑니다 일등 유산균 답게 동급최강 최고의 유산균인걸 인정합니다 체험 해보고  유산균의 좋은강점을 널리알리고 싶습니다,facebook,경상남도
5,저는 변비가 심한편이에요 일주일에 거의 2번정도 큰일을 볼정도로 심한편이에요 먹는음식도 잘 먹고 가리는것도 없는데 예전에 경락마사지사가 장운동이 없다고 그러더라구요....저는 운동도 가끔씩 하던때였는데... 아무튼 배가 더부룩하고 소화도 잘 안되는편이라 늘 유산균요구르트도 먹는데 이걸 먹어도 배만 더 더부룩할뿐이고..그래서 비코그린 변비알약을 먹은지 2년이나 되었어요 한번에 2번먹을때가 제일 많은거 같아요 한달이면 한통을 다 먹으니깐 편하긴 한데 이것도 내성이 생기다보니 화장실가는것도 더디고 3개씩 먹게 되더라구요.ㅜㅜ 진짜 함초환도 먹어보고는 하는데 솔직히 역겨워서 ㅜㅜ 제가 당첨이 되서 성공하는 케이스를 보여주고 싶어서 이렇게 간절히 신청합니다.,kakaostory,부산광역시
3,장이 약한편이라 유산균알아보던중 체험신청가능하다해서 신청해봅니다,facebook,인천광역시
3,고기와 인스턴트를 정말 좋아해서 걱정입니다. 뿐만 아니라 장건강이 안 좋아서 설사가 잦아요. 스트레스만 좀만 받았다 싶으면 죽죽 내려보네요ㅠㅠ,kakaostory,서울특별시
3,불규칙적인 배변활동으로 프로바이오틱스 제품을 먹고있습니다 신제품도 먹어보고싶네요,facebook,서울특별시
3,사회생활 시작한지 4년이 되었습니다. 타지에서 생활을 시작하다보니 점차 지치고 건강은 악화되네요. 특히 장은 튼튼한 것 같았는데 점점 소화도 힘들고 장염도 자주 걸리네요. 이번 기회에 장건강에 좋은 제품을 구입해봐야할 것 같아요.,facebook,
3,불규칙한 식습관으로 인해 변비가 심합니다. 왠만한 변비약이나 유제품을먹어도 효과를 보지못해 지큐렙 한번 복용 해보고 꾸준히 복용할 생각입니다,facebook,경상남도
3,윤정이가 생후 9개월쯤 요구르트 한방울에 숨을 못쉬고 119도 불렀는데 오질않더라구요 그러다13개월에 계란찜먹고 또한번 조마조마하게 산지 어느덧 8년이네요 다행히 얼굴에 아토피는 없고요. 막막하지만 유산균은 사서 먹고있는데 효과가 조금씩 있는거같아요 모든 엄마들의 소망 아토피없는 세상으로,kakaostory,
2,아는 언니가 좋다고해서 한번 체험분 먹어보고 계속 먹을까합니다!,kakaostory,경기도
2,요즘 유산균이 이슈인데 제가 장건강 신경을 써야해소 관심이 많네요 좋은 제품이 만드어졌길 바래요,facebook,서울특별시
2,배변 활동이 너무 불규칙 적이라서 ㅠㅠ 꼭 먹어보고싶어요,facebook,
2,"얼마전 방송을 통해 알게된 프로,프리바이오틱스 꼭 한번 경험해보고 싶습니다",facebook,서울특별시
2,아침마다 화장실 걱정에..어딜 가더라도 장건강 걱정입니다. 좋은 제품이었으면 해요,kakaostory,서울특별시
2,장건강 장건강 프로바이오틱스 항상 걱정입니다. 좋은 효과 있길 바랍니다.,twitter,서울특별시
3,장이 편하지않아 장에관련된 암웨이 제품을 복용중입니다   지큐 먹어보고 좋으면 구매하겠습니다.,kakaostory,경기도
1,제가 장이 안좋습니다 ㅜ 뽑아주세요,kakaostory,
4, 제약 다니는 친구를 통해서  을 알게 되었습니다. 유전적인 부분인지는 몰라도 가족이 평소 장건강이 좋지 않은데 튼튼한 장건강을 위해 신청합니다~ 체험단에 되서 좋아지면 가족에게 추천하려구요~~,kakaostory,경상남도
1,장 건강을 위하여~,kakaostory,서울특별시
2,출산한지 4개월.. 변비가너무심하네요ㅠ 한번먹어보고싶습니당^^,facebook,
3,장이 안좋아 설사를 자주 합니다~ 장에는 유익균과 유해균이 있고 유익균의 종류가 다양하고 많아야 장이 건강해지고 면역력이 좋아진다는 것을 알고 프로바이오틱스를 알아보고 있었는데 체험단이라는 좋은 기회가 있어 신청합니다  먹고 장건강해지거 싶습니다^^,facebook,경기도
1,자주 먹던 좋은 제푸 강츄~,kakaostory,서울특별시
2,출산 후 장이 안좋아진 와이프를 위해  을 신청합니다,facebook,경상북도
3,저보다 신랑을 위해서 신청해요 장이 약해서 설사도 자주하고 배도 자주아퍼서 유산균 좋다는거 먹어도 효과가 별로없네요 그러다 어제 광고도 보고 오늘 스토리보다가 체험단은 뽑는다해서 신청해봅니다,kakaostory,경기도
2,제가 화장실을 자주 못가는데 효과가 있을까싶어 신청합니다. 꼭 뽑아주세요~~,kakaostory,
1,온가족 함께 먹는 유산균,kakaostory,경기도
5,이제 막 돌을 넘긴 딸아이는 메디락비타부터  제약의 유산균을 함께해왔습니다이제까지 흔한 변비 한번 없고 병원도 잘 안간게 유산균의 힘 같아요 프로바이오틱스도 체험해보고 싶습니다,facebook,경기도
3,"평소 장이 좋지않아 유산균제를 복용하고있는데, 유산균제로 유명한  제약.제품 체험해보고싶습니다",facebook,서울특별시
2,제가 화장실을 자주 못가는데 효과가 있을까싶어 신청합니다. 꼭 뽑아주세요~~,kakaostory,
2,제가 화장실을 자주 못가는데 효과가 있을까싶어 신청합니다. 꼭 뽑아주세요~~,kakaostory,
2,장이 안 좋아서 다른거 먹고있는데  을 소개 받아서 써보고 싶습니다,kakaostory,
5,요즘들어 아래 배가 자주아프고 설사도 가끔해서 약도 사먹고 했는데 먹을때는 괜찮은데 시간이 지나면 또 아프고해서 유산균을 먹으려고 알아보는중에 광고를 보고 신청해봅니다,facebook,경기도
3,  신청합니다. 요즘 스트레스 때문인지 장이 많이 피곤한가 봐요 ㅠ   먹고 화이팅!,kakaostory,경기도
3,  신청합니다. 요즘 스트레스 때문인지 장이 많이 피곤한가 봐요 ㅠ   먹고 화이팅!,twitter,경기도
1,꼭 받고 싶네요,kakaostory,부산광역시
5,"신랑이 비염, 알레르기 체질이라 환절기나 주위환경에 따라 고생할때가 종종 있습니다~ 프리바이오틱스 제품이 전반적인 인체의 면역개선에 효능이 있다는것은 많은 연구들을 통해 밝혀져있어 이번  에 대한 기대가 큽니다~ ^^ 이번   체험단에 선정되서 신랑 건강을 챙길수있는 현명한 아내가 될 수있었으면 좋겠습니다^^",kakaostory,부산광역시
3,면역력이 현저히 떨어진 지금 프로바이오틱스가 절실히 필요해 알아보고 있던 차 좋은 기회를 접하게 되어 신청합니다~ 꼭 추첨이 되었으면 좋겠네요~,facebook,경기도
3, 이 새로 나왓는데 비오비타랑 다른가요? 비오비타 먹이고 있는데  도 먹이고 싶네요~~,facebook,서울특별시
5,"제가 소화가 남들보다 느린 편이라.. 화장실을 남들보다 훨씬 가는 횟수가 적습니다. 만성변비라고도 하죠.. 평소에도 유산균을 추천 받고 있습니다. 변비에 좋다는 건 다 먹어본 것 같습니다. 그 와중에  을 알게 되었는데 이런 좋은 기회가!! 있어 신청을 하게 되었습니다 부디 하루에 한번은 바라진 않고.. 일주일에 두번이라도 화장실에서 기분 좋게 나올 수 있게, 사무실에 앉아서 항상 노랗게 뜬 얼굴보다는 팽팽한 얼굴로 기분 좋게 앉아 있을 수 있는 날을 바라며 신청합니다",facebook,
5,"안녕하세요.. 저는 24살 김서연입니다. 우연히 광고에서  을 접하게 되었는데, 제게 꼭 필요한 약 같아 체험단을 신청합니다! 저는 초등학교 시절부터 장이 굉장히 예민했습니다.. 대학생인 지금까지도 수업시간에 발표나 시험을 앞두고 긴장만 하면 배아프기 일쑤였고, 심지어 .. 놀이동산만 가도 그 긴장감 때문에 배가 항상 아파서 놀이기구도 제대로 타지 못할 정도입니다.. 제가 제일 견디기 힘든 것은 자동차를 타고 장거리를 이동할 때입니다.. 밝히기 정말 수치스럽지만 3년전쯤에는 한시간 거리의 고속도로를 고속버스로 달리다가 배가 너무 아파 견디지 못하고 ""기사님!!!! 세워주세요 !!!!"" 하고 톨게이트에서 세운 적도 있습니다.. 화장실을 다녀온후 다시 차에 올라탈때 많은 사람들의 눈빛엔 측은함이 가득 담겨있었습니다.. 그래서 그 이후는 항상 장거리 이동을 할때는 기차를 타거나 전날부터 아예 금식을 합니다.. 주변에서는 저를 똥인간이라고 부르고 .. 장이 안좋아서인지 일주일에 세네번은 설사와 복통으로 고생하니 얼굴도 하얗게 질려서 사람들을 만날때마다 너 어디 아프냐고 물어보고 이제는 밖으로 외출하거나 사람 만나는게 무섭습니다 ㅠㅠ 언제 어디서 아플지 모르니까요 ㅠㅠ 이제 곧 취업도 앞두고 있어서 더욱 걱정이 큽니다 .....  을 꼭 체험해보고 싶고 체험 후 장이 좋아지는 것을 느껴보고 싶습니다.. 제 장을 살려주세요 ㅠㅠㅠㅠㅠㅠ",twitter,전라남도
4,꼭 받아서 효과 보고싶어요! 변을 일주일에 한번씩밖에 안보는게 습관이 되었나봐요. 보아도 형체가 없다던지.. 몇년째 이렇게 지내는데 한번도 유산균 사서 먹을 생각을 안해보았어요. 그러다 친구 추천으로 이 이벤트를 알게게되어 신청합니다! 남들처럼 하루에 한 번 변을 보는 경험을 하고싶어요! 효과가 있다면 또 구매하고싶어요~!!,kakaostory,경기도
4,평소 묽은변 가는변 불규칙적인 배변 때문에 다른제품 프로바이오틱스 꾸준히 챙겨 먹었는데도 좋아졌다가 별효과 없다를 반복 해서 광고를 보던중 4중코팅으로 믿을 만한  제약에서 생산된 제품이라서 한번 섭취해보고 후기를 남기고 싶습니다. 꼭 추첨 됐으면 합니다,kakaostory,경상남도
4,아이들과 함께하는 교사입니다. 아이들과 함께하다보니 화장실도 마음놓고 가지 못하네요. 그러다보니 자연스레 변비도 생기고 필수가 되어버렸습니다. 스트레스로인해 면여력도약해지고 변비도 가지게 된 저에게  이 필요한것같아요.,facebook,경기도
2,친구의 추천으로 이렇게 하게 되었습니다 다른사람과 같아 해보고 싶어서 씁니다,facebook,
3,원래 스트레스를 잘 받는 타입인데 일을 쉬고 있는데도 엄첨나게 다른 사람들에게 눈치보이고 스트레스를 받아 면역체계가 망가져 있다는 것을 느끼고 이렇게 신청하게 되었습니다,facebook,경기도
2,아이들 첫 유산균으로 먹여보고싶어요...^^,kakaostory,서울특별시
4,저희 엄마가 비염으로도고생하시고 2년전에는대장용종떼는수술을 받으셨구요 며칠뒤에는 치핵수술도하시거든요 면역력도 안좋으시고 배변활동도 많이 힘들어하셔서 이렇게 사연남겨봅니다  이 효과가 좋았으면하네요,kakaostory,
4,아빠는 항상 장이 안좋으셨다. 정말 여러 약과 요법을 썼지만 여전히 새벽마다 불편한 속 때문에 잠을 깨신다. 단순히 화장실을 가네 마네의 문제가 아닌 것이다. 숙면을 취하는 것이 아빠의 소원이 되어버린 실정이다. 부글부글 끓는 느낌이 복통과 함께와 잠을 방해하기에 그렇다. 나는 장 관련된 무언가가 나오면 눈이 빛난다. 아빠가 원하시는 편안한 잠을 선물해드리고 싶다.,twitter,강원도
4,저는 작년에 많이 아파서 수술했습니다 면역력이많이 저하되어있고 평소 생리통도 심했고 족적근막염에 피부건조증도 심하고 비염도 있고 평소 변비아니면 설사 둘중하나가 대부분입니다. 신경쓰거나 스트레스 받으면 어김없구요 전체적으로 면역력이 믾이 떨어져있어서 감기에도 잘걸리고요..몇달전 모회사제품 3개월 먹어보았는데 큰 효과가 없었습니다  에 거는 기대가 있습니다 꾸준히 복용해보고 싶어요,facebook,전라북도
4,잘못남겨서 다시남깁니다 저는 작년에 아파서 수술을 했습니다 면역력이 많이 떨어져있죠 평소에 변비아니면 설사 둘중하나예요. 피부건조증도 있고 .. 생리통도 심합니다 여러회사들이있지만 4중이라 혁신적이네요 다른 회사 제품 보다 기대가큽니다,twitter,전라북도
4,우리 남편은 과민성대장으로 늘 밖에 나가기 전 화장실을 몇번 다녀 옵니다. 또 장이 예민하다 보니 가족과 같이 먹어도 혼자 탈이 날때가 많습니다. 유산균을 꾸준히 먹다가 본인이 느끼기에 좋아지는것 같지 안다며 그만 먹겠다 하여 유산균 먹는걸 쉬고 있었는데요... 신문을 보다 우연히   출시를 알게 되었습니다. 4중 코팅으로 말뿐인 유산균이 아닌 살아있는 유산균을 장까지 보내는 특허기술을 믿어보고 싶어 신청합니다. 우리 남편 장 좀 도와주세요~~~,kakaostory,경상남도
1, 제약 장건강프로젝트  ,kakaostory,경기도
3,다이어트중인데 음식섭취가적다보니 배변도 힘들고 면역도떨어진것같아요   먹어보고싶습니다!,facebook,경기도
3,잔병치레가 잦은 막내아이에게 먹이고 싶어 신청해봅니다..장이 튼튼해야 좋은 음식을 아무리 먹는다 할 지라도 영양분 흡수도 못 한채 다 배출이 된다하니 장 튼튼 건강 튼튼하게 크도록 먹이고 싶어요..또래보다 키도 작고 자주 아파 입원하는 아이를 위해 신청합니다.,facebook,대전광역시
2,저희 어머니가 유산균을 좋아하셔서 써보고 구매하여 부모님께 선물로 드리고 싶습니다.  제약이라 더 믿음이 가는것 같아 써보고싶군요.,kakaostory,강원도
5,결혼한지 6개월이 조금넘었고 이제 슬슬 2세 준비중인 30대 여자입니다 생리불순이 심해서 임신이 쉽지않을까봐 걱정이 많고 평소 건강이 좋지않아서 임신을 준비하며 영양제 몇가지를 먹어보려고 알아보는중이에요! 평소에 만성변비로 화장실가는게 엄청 힘들고 소화기능도 남들보다 떨어져요 임신하면 변비가 없던사람도 변비로 고생한다던데 저는 정말 큰일이에요~ 예전에는 변비약을 달고살았는데 나중에는 내성이 생겨서 1알로 해결이 안되고 약을 과다복용하게되는 상황까지 왔었어요ㅠㅠ 그러다가 장이 꼬이고 배가너무아파서 응급실까지 가봤구요.. 그뒤로는 아무리 힘들어도 변비약은 절대안먹어요 겁먹어서ㅎㅎ 가루로된 프로바이오틱스도 먹어보고 유산균이 100억마리 들어있다는 유산균도 먹어보고 집에서 수제요거트도 만들어서 먹어보고 정말 많은방법을 동원해봤는데 큰 만족은 못하고있어요ㅠㅠ  제약에서   광고를 보고 검색하다가 이벤트를 보게되었고 믿을만한 제약회사에서 만든 유산균으로 임신전 장을 건강하게 만들고싶어서 직접구입해서 먹어보기전에 응모해봅니다~ 감사합니다^^,facebook,서울특별시
1,샘플 받고싶어요~~!!!,facebook,
3,유산균 매니아 입니다 애기와 같이먹고 건강해질수있는 유산균을 찾고있어요  이딱인거같습니다 꼭꼭 보내주세요!,facebook,경기도
1, 이 간절히 필요합니다. 너무 힘듭니다,kakaostory,서울특별시
1, 제약 유산균은 좋다는 말을 워낙 많이 들어서 꼭 한번 체험 해보고 싶습니다~!!,kakaostory,경기도
1, 으로 장건강을 챙기고 싶네~,facebook,경기도
1,만성변비 탈출하고싶습니다.,facebook,경기도
4,제가 출산후 우리아기에게 먹인 산양분유..... 다른분유를 먹을땐 아이가 소화가안되서 고생했는데 산양분유.초유밀덕에 모유만큼이나 건강한아기로 지낼수있었어요 그래서  을 신뢰하게 되었고 이번에 출시된  을 한번 먹어볼까합니다 안그래두 면연력이나 장건강땜에 유산균을 구매중이거든요♡♡♡,kakaostory,
3, 제약 주주입니다 제가 투자하는 회사의 신제품을 복용 해보고 좋으면 지인들에게 선물 하고 싶습니다. 참고로 기름기있는 음식을 먹으면 배가 자주 아픔니다.,facebook,전라북도
4,안녕하세요. 저는 평소 과민성 대장으로 인한 설사와 고르지 못한 변 때문에 고생하고 있습니다. 마침 우리나라 굴지의  제약에서 좋은 제품을 만든다기에 도운을 받고자 참여신청 합니다. 끝으로 귀사의 일익 번창을 기원합니다. 2016. 1. 14. 최 종 선,kakaostory,경기도
4,2월에 결혼을 앞둔 예비신부입니다 결혼준비와 직장업무를 병행하다보니 이런저런 것들이 스트레스가 되었는지 장염과 설사를 계속 달고 살고 있네요ㅜㅜ 병원을 다니고 유산균을 먹어봐도 전혀 차도가 없어요 그러던 중에 jtbc에서 방영해준 프로바이오틱스 관련한 프로를 보고 인터넷 검색을 통해  을 알게 되었습니다 그리고 제품에 대한 더 자세한 정보를 얻고자 홈페이지을 방문을 했더니 운이 너무도 좋게도 체험단 이벤트를 하고 있네요..! 꼭 선정되어서 건강해지고 싶습니다.,facebook,부산광역시
4,장이 건강해야 모든 건강이 지켜진다고 맹신하는 두남매맘입니다 찬우유를 먹으면 바로 화장실 행이라 주위사람들 모두 장이 안 좋타고 말 하더군요 장에 유산균이 최고라는데 일반 유산균을 사먹어도 별 효과를 ㅠ 이젠 좀 효과보고 건강해져야되지 않을까요? 뽑아주세용~♡,facebook,서울특별시
3,제가 장이 안좋아서 좋은 유산균을 찾고 있읍니다. 체험할수 있으면 좋겠읍니다.,kakaostory,전라남도
2,하이락토 프리미엄에 이어 한번 먹어보려고 합니다.,facebook,
2,온가족이 쾌변을 못해 고생중입니다.  에서 만들면 다를꺼라 믿습니다,kakaostory,서울특별시
3,앉아 있는 시간이 많고 스트레스를 많이 받다 보니 언제부터인지 배변활동이 불규칙하게 변하더라구요. 하루에 변을 안볼때도 있고 2~3번 볼때도 있고 시간대도 그때 그때 다릅니다. 특정한 음식에 영향이 있나 이것 저것 시험해봤는게 그 때문은 아닌것 같고 운동부족과 스트레스가 원인인것 같아요. 그래서 운동을 시작했는데 장운동을 도와주는 약을 복용하면 더 효과가 있을듯 합니다  제약  으로 장 건강을 되찾고 싶습니다.,kakaostory,전라남도
3,안녕하세요 항상 장이안좋아서 장트러블을 가진 조카가 잇어요 조금만 민감한음식을 먹어도 화장실로뛰어가는 걸 보기가 안타까울지경이고 ㅠ어렷을때 놀림도 많이받앗어요 나이가 들면서 유산균을먹으면서 좀 나아졋는데  제약에서 나온  을 꼭 시도해보고 싶습니다 감사힙니다,kakaostory,경기도
3,"십수년 만성변비로 고생하다 몇년전부터 참다래(키위)로 약간 도움 받고, 건강관련 tv 프로에서 소개되어 각 홈쇼핑채널를 통해 유산균제품 접한 후 한결 수월해진 상태~ 약 2년쯤 꾸준히 복용하구 있습니다. 좀 더 업그레이드 된 제품이 출시됐다면 한번 경험할 수 있는 기회 가져 보구 싶습니다. 애쓰셔요^^",twitter,전라북도
3,진짜 장 트러블이 심각해요ㅠㅠ 갑자기 설사로 인해 하루종일 아무것도 못먹고 누워만 있을때도 있고 그러다 또 변비로 고생하고. 변을 보고 나도 개운하지가 않아요. 이것이 다 장내 유해균 때문인거 같은데  제약  은 믿을 수 있는 프로바이오틱스제품이라 꼭 체험해 보고 싶습니다,facebook,세종특별자치시
4,우리몸 전체에 영향을 미치는 면역체계의 70%가 바로 우리 장내에 있는거 아시죠. 대장에있는 항체가 면역체계를 보호하고 일부 질병으로 부터 몸을 지켜준다고 합니다.항생제보다 몸에있는 자연박테리아를 이용해 감기같은 가벼운 질병은 치료하는게 몸에 있는 세균숲 안정에 도움이 되고 항생제는 유익균까지 죽여버릴수도 있기 때문에 오늘 하루 요구르트 하나 먹는다고 장이 좋아지는게 아니죠. 지속적으로 꾸준히 유산균을 섭취해서 유익균의 세균숲을 구축해 나가는것이 제일 좋은거 같네요. 좋은 유산균을 잘 선택하는게 좋겠죠. 유산균이 캡슐 안에서 얼마나 살아있는지 알고 싶고 유통기간이 끝날때까지 얼마나 유산균이 살아있는지도 궁금하네요.  의 좋은 성능 꼭 확인하고 싶습니다~~~,facebook,강원도
5,임산12주 산모에요^^ 첫째는 변비로 너무 고생해서 둘째때는 유산균을 꼭 챙겨먹으려고 합니다 지금 유산균을 알아보던 찰나에 이렇게 좋은기회가 생겨서 응모해봅니다....,kakaostory,경기도
5,12주 임산부 에요^^ 첫째때는 변비로 너무 고생해서 둘째는 유산균을 챙겨먹으려고 해요 유산균을 알아보던 찰나에 이렇게 좋은기회가 생겨 응모해봅니다~,kakaostory,경기도
5,딸아이 변비 때문에 걱정이 많아요. 편식이 심한편이라 화장실 갈때마다 힘들어 하는데  은 장에도 좋고 50억 프로바이오틱스라 건강에도 좋아서 우리아이 변비도 탈출 할 수 있을 것 같아 너무 기대되네요 매일 매일 화장실 가는걸 힘들어 하는데   키즈 먹고 화장실 가는게 즐거워졌으면 좋겠어요 4주간 먹어보고 괜찮으면 이걸로 구입해서 먹고 싶네요,kakaostory,경기도
3,운동선수입니다. 먹어보고 주위에 추천하겠습니다,twitter,경기도
3,인스턴트에 찌들어있는 남편에게 선물해주고싶어요  먹고 장튼튼해지라고,twitter,서울특별시
5,장이 안좋아 생활의 질이 많이 안좋습니다.. 바쁜 아침출근시간에 화장실을 갔다와도 개운치가 않고 전철타고 가는 중간에 부글거리는 장때문에 회사까지 가기도 전에 내리는 경우가 한두번이 아니에요.. 너무도 불편해서 한방과 양약 다 먹어봐도 신통치가 않습니다..ㅠㅠ 나이먹어 장건강이 더 안좋아지는거같고 술자리가 있는 다음날은 어김없이 하루종일 화장실에서 삽니다... 그러기에 신청합니다.. 세계최초 특허 4중코팅 프로바이오틱스  (gQ lab)!  을 경험해보고싶습니다,facebook,경상북도
5,변비로 고생한지 십년이 넘었네요 삼일에 한번 약국에서 파는 쾌변제품이나 아님 흰우유먹으면 설사해서 정말 힘들면 흰우유먹던가 아님 크림제품 먹으면 설사하거든요 둔한거 같으면서도 민감하기도 하고..... 좋다는 시중에서 파는 유산균 먹어봤는데 저한텐 그닥이더라구요 지큐 세계최초로 4중코팅이라 장까지 도달해서 정상적인 배변활동되서 다욧도 되믄좋겠네요 꼭 뽑혔음 좋겠네요 (づ￣ ³￣)づ~♡,facebook,경기도
5,절대품질과 절대가격의 대중명품으로 무장된 참다운 친생유산균은 위와 장을 거쳐 항문까지 도달하며 신경계를 자극하기에 머리까지 시원합니다... 소비자의 건강과 생산자의 발전속에 상생과 화합을 돕는  이 주는 감동과 감성을 제대로 만끽하고자 체험단의 엄중한 의무를 다하고자 신청합니다,facebook,대구광역시
4,어릴때부터 변비가 심해서 관장도하곤 했은데 그때 뿐이더라구요. 유산균 여구르트며 식이섬유에 좋다는 음식도 먹고하는데 특별한 효과를 본적이 없습니다. 체험단에 신청합니다.,facebook,
3,불규칙한 식사와 야근에 잦은 회식.. 종일 앉아서 일하다보니 배변활동이 원활하지 못하네요..,facebook,경상북도
4,"사무직에서 근무하며 항상 앉아있는 시간이 많고 회식 또한 많습니다. 배변활동이 불규칙적이고 자주 화장실을 들락날락거려 고민입니다.  을 통해 건강한 장을 만들고, 규칙적인 배변활동을 하고싶습니다.",facebook,
3,"제가 변비가엄청심해서 저희 아빠가 다니는 병원에서 유산균5억짜리를 캡슐로 사서먹었는데 역시 변비이네여.어떡하죠?? 먹으면 괞찮을 까여?  같은 유산균이있었으면 벌써사먹었을텐데말이죠???   ...나아라 변비..나아라 약수동에있는송도병원가니 장무기력증이라고 들었습니다. 저희아빠는 얼떨결에 용종도 띠시고 저참무서웠는데..저는 용종도없고 치질도아니라니 천만다행이네여.어쨌든 저같은사람은꼭  을 먹어야죠..,..후기도올리겠습니다.약속합니다.",facebook,울산광역시
4,"나이가 먹어가니 건강관리에 관심을 가져야겠다는 생각이 자연스러워지고 있는데, 소화가 좋지 않다는 생각과 배변이 만족스럽지 못하다는 느낌이 늘 있었는데 유산균을 꾸준히 복용하면 많이 개선된다는 지인들의 조언도 있어서 관심을 가졌던차에 페이스북에서 이런 광고가 올라와서 바로 주저하지 않고 신청을 하게 됩니다!!",facebook,경상북도
